All Transactions Report Created: 2018-08-15 22:57:58 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,,"6/14/2018","Payment/Deposit","",,"","Starbucks","Uncategorized","Uncategorized","",,"-4.96","Matt Checking 0451","DBT PURCHASE ON 06/13 @ 07:33 STARBUCKS STORE 10740 STARBUCKS ST"
﻿,,"6/14/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-4.63","Matt Checking 0451","DBT PURCHASE ON 06/13 @ 21:00 QT 178 02001782 QT 178 02001782 KA"
﻿,,"6/14/2018","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"262.50","Fidelity HSA XX5575","Medical savings plan"
﻿,,"6/14/2018","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"339.20","IBM 401k Fidelity","contribution"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"5,653.25","Savings","Gross pay"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"78.54","Savings","Life Insurance (implied)"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Medicare","Tax:Medicare","",,"-77.39","Savings","Paycheck"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Soc Sec","Tax:Soc Sec","",,"-330.90","Savings","Paycheck"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Fed","Tax:Fed","",,"-427.03","Savings","Paycheck"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Kansas","Tax:Kansas","",,"-202.22","Savings","Paycheck"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[IBM 401k Fidelity]","Transfer:[IBM 401k Fidelity]","",,"-339.20","Savings","contribution"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Medical","Insurance:Medical","",,"-132.22","Savings","Health care (medical + dental)"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","Transfer:[Fidelity HSA XX5575]","",,"-262.50","Savings","Medical savings plan"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-79.72","Savings","Life Insurance"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-78.54","Savings","LIfe Insurance (implied)"
﻿,"S","6/14/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Uncategorized","Uncategorized","",,"0.01","Savings","Paycheck"
﻿,,"6/14/2018","Payment/Deposit","Deposit",,"","IBM Match","Misc Inc","Misc Inc","",,"450.00","Deferred 401k Match","IBM Match"
﻿,,"6/13/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-26.83","Discover 3128(6)",
﻿,,"6/13/2018","Payment/Deposit","",,"","WILLARD TRUE VALUE WILLARD MO","Fix Me","Fix Me","",,"-9.33","Discover 3128(6)",
﻿,,"6/13/2018","Payment/Deposit","",,"","Big Lots","Fix Me","Fix Me","",,"-12.43","Discover 3128(6)",
﻿,,"6/13/2018","Payment/Deposit","",,"","BLUEMOUNTAIN*CREATPRNT 888-254-1","Subscriptions","Subscriptions","",,"-19.99","Discover4221(6)",
﻿,,"6/13/2018","Payment/Deposit","",,"","Wilco Fuel Plaza","Auto:Fuel","Auto:Fuel","",,"-31.00","Checking","DBT PURCHASE ON 06/12 @ 19:29 PHILLIPS 66 - WILCO FAS PHILLIPS 6"
﻿,,"6/13/2018","Payment/Deposit","",,"","Casey's","Auto:Fuel","Auto:Fuel","",,"-29.35","Checking","DBT PURCHASE ON 06/11 @ 10:11 CASEYS BOWLING GREEN CASEYS BOWLIN"
﻿,,"6/13/2018","Payment/Deposit","",,"","Tilly's","Fix Me","Fix Me","",,"-23.99","Matt Checking 0451","DBT PURCHASE ON 06/12 @ 22:06 TILLYS #199 TILLYS #199 LEAWOOD KS"
﻿,,"6/13/2018","Payment/Deposit","",,"","Fuel Trip","Fix Me","Fix Me","",,"-14.17","Matt Checking 0451","DBT PURCHASE ON 06/12 @ 08:18 FUEL TRIP #1 FUEL TRIP #1 LENEXA K"
﻿,,"6/13/2018","Payment/Deposit","",,"","QT","Fix Me","Fix Me","",,"-8.76","Matt Checking 0451","DBT PURCHASE ON 06/12 @ 14:05 QT 197 02001972 QT 197 02001972 KA"
﻿,,"6/13/2018","Payment/Deposit","",,"","QT","Fix Me","Fix Me","",,"-3.58","Matt Checking 0451","DBT PURCHASE ON 06/12 @ 15:50 QT 178 02001782 QT 178 02001782 KA"
﻿,,"6/13/2018","Payment/Deposit","",,"","Google FIber","Utilities:Cable TV","Utilities:Cable TV","",,"-172.61","Discover 3128(6)",
﻿,,"6/12/2018","Payment/Deposit","",,"","BONEFISH 7701 LEAWOOD KS","Dining:Family","Dining:Family","",,"-39.11","Discover4221(6)","w/ MD"
﻿,,"6/12/2018","Payment/Deposit","",,"","PROFILE 15013 OVERLAND P OVERLAN","Groceries","Groceries","",,"-14.52","Discover4221(6)",
﻿,,"6/12/2018","Payment/Deposit","",,"","QT","Fix Me","Fix Me","",,"-9.35","Matt Checking 0451","DBT PURCHASE ON 06/11 @ 19:40 QT 203 02002038 QT 203 02002038 ST"
﻿,,"6/12/2018","Payment/Deposit","",,"","Freddy's Frozen Custard","Uncategorized","Uncategorized","",,"-8.72","Matt Checking 0451","DBT PURCHASE ON 06/11 @ 01:43 FREDDYS FROZEN CUSTARD FREDDYS FRO"
﻿,,"6/12/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-3.58","Matt Checking 0451","DBT PURCHASE ON 06/11 @ 19:15 QT 178 02001782 QT 178 02001782 KA"
﻿,,"6/12/2018","Payment/Deposit","",,"","Tbo Trf","Fix Me","Fix Me","",,"-200.00","Matt Checking 0451","to 7528"
﻿,,"6/11/2018","Sell","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","40 shares @ 1.00","Investments:Sell","","-40","40.00","Fidelity HSA XX5575",""
﻿,,"6/11/2018","Payment/Deposit","",,"","OREILLY AUTO #1717 BOWLING GREEN","Fix Me","Fix Me","",,"-14.08","Discover 3128(6)",
﻿,,"6/11/2018","Payment/Deposit","",,"","EXPEDIA 7358524962467 EXPEDIA.CO","Vacation","Vacation","",,"-101.92","Discover 3128(6)",
﻿,,"6/11/2018","Payment/Deposit","",,"","DOLLARTREE BOWLING GREENMO","Fix Me","Fix Me","",,"-8.68","Discover 3128(6)",
﻿,,"6/11/2018","Payment/Deposit","",,"","DOLLAR-GENERAL #0476 BOWLING GRE","Fix Me","Fix Me","",,"-26.03","Discover 3128(6)",
﻿,,"6/11/2018","Payment/Deposit","",,"","NORMAL DISTR PARTIAL STAR CHIROP","Medical:Chiropractic","Medical:Chiropractic","",,"-40.00","Fidelity HSA XX5575","NORMAL DISTR PARTIAL STAR CHIROPRACTIC       SHAWNEE       KS"
﻿,,"6/11/2018","Payment/Deposit","",,"","Chipotle","Uncategorized","Uncategorized","",,"-11.61","Matt Checking 0451","DBT PURCHASE ON 06/10 @ 04:27 CHIPOTLE 0776 CHIPOTLE 0776 KANSAS"
﻿,,"6/11/2018","Payment/Deposit","",,"","Loan Nissan Leaf","Transfer:[Checking]","Transfer:[Checking]","",,"0.00","Loan Nissan Leaf",
﻿,,"6/11/2018","Payment/Deposit","",,"","Loan Nissan Leaf","Transfer:[Checking]","Transfer:[Checking]","",,"635.98","Loan Nissan Leaf",
﻿,"S","6/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","Transfer:[Loan Nissan Leaf]","",,"-635.98","Checking",
﻿,"S","6/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment:Interest","Auto & Transport:Auto Payment:Interest","",,"-1.91","Checking",
﻿,"S","6/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","Transfer:[Loan Nissan Leaf]","",,"0.00","Checking",
﻿,"S","6/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment","Auto & Transport:Auto Payment","",,"0.00","Checking",
﻿,,"6/10/2018","Payment/Deposit","",,"","Applebee's","Dining:Family","Dining:Family","",,"-26.02","Sears 9920(29)",
﻿,,"6/10/2018","Payment/Deposit","",,"","SUPER 8 MOTELS BOWLING G 573-324","Vacation","Vacation","",,"-107.11","Discover 3128(6)",
﻿,,"6/10/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"32.58","Discover 3128(6)",
﻿,,"6/10/2018","Payment/Deposit","",,"","iTunes","Uncategorized","Uncategorized","",,"-9.99","Matt Checking 0451","DBT PURCHASE ON 06/10 @ 04:00 APL* ITUNES.COM/BILL APL* ITUNES.C"
﻿,,"6/10/2018","Payment/Deposit","",,"","Powerplay Family Enter","Uncategorized","Uncategorized","",,"-7.66","Matt Checking 0451","DBT PURCHASE ON 06/09 @ 12:43 POWERPLAY FAMILY ENTER POWERPLAY F"
﻿,,"6/9/2018","Payment/Deposit","",,"","quick trip","Auto:Fuel","Auto:Fuel","",,"-34.77","Sears 9920(29)",
﻿,,"6/9/2018","Payment/Deposit","",,"","Caseys","Auto:Fuel","Auto:Fuel","",,"-14.26","Sears 9920(29)",
﻿,,"6/9/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-43.03","Discover 3128(6)",
﻿,,"6/9/2018","Payment/Deposit","",,"","Taco Bell","Dining:Terry","Dining:Terry","",,"-7.33","Discover 3128(6)","DBT PURCHASE ON 07/24 @ 13:52 TACO BELL #21436 TACO BELL #21436"
﻿,,"6/9/2018","Payment/Deposit","",,"","REGAL NAILS SALON & SPA KANSAS C","Personal","Personal","",,"-40.00","Discover 3128(6)","TD nails"
﻿,,"6/9/2018","Payment/Deposit","",,"","QT","Fix Me","Fix Me","",,"-4.95","Discover 3128(6)",
﻿,,"6/9/2018","Payment/Deposit","",,"","MARDEL #0015 OVERLAND PARKKS","Books","Books","",,"-15.04","Discover 3128(6)","TD study"
﻿,,"6/9/2018","Payment/Deposit","",,"","BIG BISCUIT OVERLAND PARKKS","Dining:Family","Dining:Family","",,"-28.40","Discover4221(6)",
﻿,,"6/9/2018","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-40.48","Matt Checking 0451","DBT PURCHASE ON 06/08 @ 09:42 PHILLIPS 66 - METCALF C PHILLIPS 6"
﻿,,"6/9/2018","Payment/Deposit","",,"","Power Play Ente 13110 West 62nd","Uncategorized","Uncategorized","",,"-23.00","Matt Checking 0451","POWER PLAY ENTE 13110 W 62ND TERR Shawnee MissiKS CARD NBR: -981"
﻿,,"6/9/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-16.59","Matt Checking 0451","DBT PURCHASE ON 06/09 @ 20:38 QT 178 02001782 QT 178 02001782 KA"
﻿,,"6/9/2018","Payment/Deposit","",,"","Phillips 66","Auto:Fuel","Auto:Fuel","",,"-8.59","Matt Checking 0451","DBT PURCHASE ON 06/08 @ 09:42 PHILLIPS 66 - METCALF C PHILLIPS 6"
﻿,,"6/9/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-7.95","Matt Checking 0451","DBT PURCHASE ON 06/08 @ 04:19 QT 242 02002426 QT 242 02002426 LE"
﻿,,"6/9/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-3.58","Matt Checking 0451","DBT PURCHASE ON 06/08 @ 03:19 QT 178 02001782 QT 178 02001782 KA"
﻿,,"6/8/2018","Payment/Deposit","",,"","WAL MART","Fix Me:WalMart","Fix Me:WalMart","",,"-4.35","Sears 9920(29)",
﻿,,"6/8/2018","Payment/Deposit","",,"","Purchases","Fix Me","Fix Me","",,"-69.98","JC Penney 4541 (28)",
﻿,,"6/8/2018","Payment/Deposit","",,"","CVS Pharmacy","Fix Me","Fix Me","",,"-88.60","Discover 3128(6)",
﻿,,"6/8/2018","Payment/Deposit","",,"","CVS Pharmacy","Fix Me","Fix Me","",,"-18.17","Discover 3128(6)",
﻿,,"6/8/2018","Payment/Deposit","",,"","Amazon.com","Fix Me","Fix Me","",,"-32.93","Discover 3128(6)",
﻿,,"6/8/2018","Payment/Deposit","",,"","Winsteads","Uncategorized","Uncategorized","",,"-15.08","Matt Checking 0451","DBT PURCHASE ON 06/07 @ 22:19 WINSTEAD'S #052 WINSTEAD'S #052 OV"
﻿,,"6/8/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-11.06","Matt Checking 0451","DBT PURCHASE ON 06/07 @ 01:10 QT 178 02001782 QT 178 02001782 KA"
﻿,,"6/8/2018","Payment/Deposit","",,"","ATM Old Metcalf 13500 Metcalf Avenue","Matt Salary","Matt Salary","",,"452.58","Matt Checking 0451","ATM OLD METCALF 13500 METCALF AVENUE OVERLAND PARKKS CARD NBR: -"
﻿,,"6/7/2018","Payment/Deposit","",,"","WAL MART","Fix Me:WalMart","Fix Me:WalMart","",,"-41.80","Sears 9920(29)",
﻿,,"6/7/2018","Payment/Deposit","",,"","Price Chopper","Groceries","Groceries","",,"-24.02","Sears 9920(29)",
﻿,,"6/7/2018","Payment/Deposit","",,"","Hen House","Dining:Greg","Dining:Greg","",,"-5.41","Sears 9920(29)",
﻿,,"6/7/2018","Payment/Deposit","",,"","Purchases","Fix Me","Fix Me","",,"-165.69","Kohls 3215(25)",
﻿,,"6/7/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-224.57","Discover 3128(6)",
﻿,,"6/7/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-32.58","Discover 3128(6)",
﻿,,"6/7/2018","Payment/Deposit","",,"","KNEADERS OF OVERLAND PK 801 642","Fix Me","Fix Me","",,"-10.85","Discover 3128(6)",
﻿,,"6/7/2018","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-67.81","Discover 3128(6)",
﻿,,"6/7/2018","Payment/Deposit","",,"","Chick-fil-a","Dining","Dining","",,"-12.71","Discover 3128(6)",
﻿,,"6/7/2018","Payment/Deposit","",,"","Chipotle","Uncategorized","Uncategorized","",,"-12.22","Matt Checking 0451","DBT PURCHASE ON 06/06 @ 21:36 CHIPOTLE 0776 CHIPOTLE 0776 KANSAS"
﻿,,"6/7/2018","Payment/Deposit","",,"","Starbucks","Uncategorized","Uncategorized","",,"-3.22","Matt Checking 0451","DBT PURCHASE ON 06/07 @ 13:22 STARBUCKS STORE 10740 STARBUCKS ST"
﻿,,"6/7/2018","Payment/Deposit","",,"","PROFILE 15013 OVERLAND P OVERLAN","Groceries","Groceries","",,"-14.52","Discover 3128(6)",
﻿,,"6/6/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-8.37","Matt Checking 0451","DBT PURCHASE ON 06/05 @ 16:01 QT 210 02002103 QT 210 02002103 OV"
﻿,,"6/6/2018","Payment/Deposit","",,"","Starbucks","Uncategorized","Uncategorized","",,"-3.22","Matt Checking 0451","DBT PURCHASE ON 06/06 @ 02:49 STARBUCKS STORE 10740 STARBUCKS ST"
﻿,,"6/5/2018","Payment/Deposit","",,"","WAL MART","Fix Me:WalMart","Fix Me:WalMart","",,"-23.81","Sears 9920(29)",
﻿,,"6/5/2018","Payment/Deposit","",,"","Grass Pad","Household:Landscape","Household:Landscape","",,"-12.69","Sears 9920(29)",
﻿,,"6/5/2018","Payment/Deposit","",,"","Hen House","Dining:Greg","Dining:Greg","",,"-6.23","Discover4221(6)",
﻿,,"6/5/2018","Payment/Deposit","",,"","KAW VALLEY GREENHOUSE MANHATTAN","Household:Landscape","Household:Landscape","",,"-47.14","Discover 3128(6)",
﻿,,"6/5/2018","Payment/Deposit","",,"","Safe Deposit Box","Bank Charge","Bank Charge","",,"-55.00","Checking",
﻿,,"6/5/2018","Payment/Deposit","",,"","THE ATHLETIC CLUB OF O OVERLAND","Membership","Membership","",,"-67.64","Discover 3128(6)",
﻿,,"6/5/2018","Payment/Deposit","",,"","Campus Crusade for Christ","Charity:Cash:Crusade","Charity:Cash:Crusade","",,"-85.00","Checking","Austin"
﻿,,"6/5/2018","Payment/Deposit","",,"","ATT","Utilities:Telephone","Utilities:Telephone","",,"-288.83","Discover 3128(6)","wireless"
﻿,,"6/4/2018","Payment/Deposit","",,"","WILD BIRDS UNLIMITED LEAWOOD KS","Fix Me","Fix Me","",,"-32.80","Discover 3128(6)",
﻿,,"6/4/2018","Payment/Deposit","",,"","SUBURBAN LAWN AND GARDEN KANSAS","Household:Landscape","Household:Landscape","",,"-15.03","Discover 3128(6)",
﻿,,"6/4/2018","Payment/Deposit","",,"","KAW VALLEY GREENHOUSE MANHATTAN","Household:Landscape","Household:Landscape","",,"-28.66","Discover 3128(6)",
﻿,,"6/4/2018","Payment/Deposit","",,"","KAW VALLEY GREENHOUSE MANHATTAN","Household:Landscape","Household:Landscape","",,"-18.00","Discover 3128(6)",
﻿,,"6/4/2018","Payment/Deposit","",,"","HEARTLAND NURSERY KANSAS CITY MO","Household:Landscape","Household:Landscape","",,"-39.03","Discover 3128(6)",
﻿,,"6/4/2018","Payment/Deposit","",,"","To Checking","Transfer:[ETrade]","Transfer:[ETrade]","",,"19,500.00","Checking","OUT - ACH WITHDRAWL - REFID:9736587482;"
﻿,,"6/4/2018","Payment/Deposit","",,"","To Checking","Transfer:[Checking]","Transfer:[Checking]","",,"-19,500.00","ETrade","OUT - ACH WITHDRAWL - REFID:9736587482;"
﻿,,"6/4/2018","Payment/Deposit","",,"","Discover Card (4221)","Transfer:[Checking]","Transfer:[Checking]","",,"664.91","Discover4221(6)","payment"
﻿,,"6/4/2018","Payment/Deposit","",,"","Discover Card (4221)","Transfer:[Discover4221(6)]","Transfer:[Discover4221(6)]","",,"-664.91","Checking","payment"
﻿,,"6/3/2018","Payment/Deposit","",,"","Wendy's","Dining","Dining","",,"-13.03","Sears 9920(29)",
﻿,,"6/3/2018","Payment/Deposit","",,"","Interest","Int Inc","Int Inc","",,"1.96","AMEX Savings",
﻿,,"6/3/2018","Payment/Deposit","",,"","Hen House","Groceries","Groceries","",,"-33.24","Discover4221(6)",
﻿,,"6/3/2018","Payment/Deposit","",,"","Omgyes Ca","Personal Care","Personal Care","",,"-39.00","Discover4221(6)",
﻿,,"6/3/2018","Payment/Deposit","",,"","McDonald's","Dining","Dining","",,"-8.51","Matt Checking 0451","DBT PURCHASE ON 06/02 @ 11:30 MCDONALD'S F25248 MCDONALD'S F2524"
﻿,,"6/2/2018","Payment/Deposit","",,"","Martin City Brewery","Dining:Family","Dining:Family","",,"-50.77","Sears 9920(29)",
﻿,,"6/2/2018","Payment/Deposit","",,"","Costco","Groceries","Groceries","",,"-38.16","Costco Visa 5455","DIETRICH,TERRY J"
﻿,,"6/2/2018","Payment/Deposit","",,"","Tbo Trf","Transfer:[Matt Checking 0451]","Transfer:[Matt Checking 0451]","",,"-155.00","Checking",
﻿,,"6/2/2018","Payment/Deposit","TXFR",,"","Tbo Trf","Transfer:[Checking]","Transfer:[Checking]","",,"155.00","Matt Checking 0451",
﻿,,"6/2/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-8.39","Matt Checking 0451","DBT PURCHASE ON 06/01 @ 03:13 QT 242 02002426 QT 242 02002426 LE"
﻿,,"6/2/2018","Payment/Deposit","",,"","ATM Village Seville","Matt Cash","Matt Cash","",,"-60.00","Matt Checking 0451","ATM VILLAGE SEVILLE 13100 STATE LINE ROAD LEAWOOD KS CARD NBR: -"
﻿,,"6/1/2018","Payment/Deposit","",,"","Hen House","Groceries","Groceries","",,"-12.10","Sears 9920(29)",
﻿,,"6/1/2018","Payment/Deposit","",,"","Springfield","Auto:Fuel","Auto:Fuel","",,"-44.89","BOA AAA 8044(1)",
﻿,,"6/1/2018","Payment/Deposit","",,"","Netflix.Com","Entertainment","Entertainment","",,"-10.99","Discover 3128(6)",
﻿,,"6/1/2018","Payment/Deposit","",,"","APL* ITUNES.COM/BILL 866-712-775","Fix Me","Fix Me","",,"-4.34","Discover 3128(6)","HBO"
﻿,,"6/1/2018","Payment/Deposit","",,"","Americanexpress Axp Test","Fix Me","Fix Me","",,"0.36","Checking",
﻿,,"6/1/2018","Payment/Deposit","",,"","Americanexpress Axp Test","Fix Me","Fix Me","",,"0.20","Checking",
﻿,,"6/1/2018","Payment/Deposit","",,"","MENARDS 3343 OLATHE KS","Fix Me","Fix Me","",,"38.06","Discover 3128(6)",
﻿,,"6/1/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-5.99","Matt Checking 0451","DBT PURCHASE ON 05/31 @ 10:00 QT 176 02001766 QT 176 02001766 KA"
﻿,,"6/1/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-5.32","Matt Checking 0451","DBT PURCHASE ON 05/31 @ 10:33 QT 210 02002103 QT 210 02002103 OV"
﻿,,"6/1/2018","Payment/Deposit","",,"","To AMEX","Transfer:[Checking]","Transfer:[Checking]","",,"15,000.00","AMEX Savings",
﻿,,"6/1/2018","Payment/Deposit","TXFR",,"","To AMEX","Transfer:[AMEX Savings]","Transfer:[AMEX Savings]","",,"-15,000.00","Checking",
﻿,,"6/1/2018","Payment/Deposit","",,"","From savings","Transfer:[Checking]","Transfer:[Checking]","",,"-15,000.00","Savings",
﻿,,"6/1/2018","Payment/Deposit","TXFR",,"","From savings","Transfer:[Savings]","Transfer:[Savings]","",,"15,000.00","Checking",
﻿,,"6/1/2018","Payment/Deposit","",,"","CapFedMortgage2017","Transfer:[Checking]","Transfer:[Checking]","",,"475.39","Escrow2017",
﻿,,"6/1/2018","Payment/Deposit","",,"","CapFedMortgage2017","Transfer:[Checking]","Transfer:[Checking]","",,"0.00","CapFedMortgage2017",
﻿,,"6/1/2018","Payment/Deposit","",,"","CapFedMortgage2017","Transfer:[Checking]","Transfer:[Checking]","",,"440.28","CapFedMortgage2017",
﻿,"S","6/1/2018","Payment/Deposit","Sched",,"","CapFedMortgage2017","Transfer:[CapFedMortgage2017]","Transfer:[CapFedMortgage2017]","",,"-440.28","Checking",
﻿,"S","6/1/2018","Payment/Deposit","Sched",,"","CapFedMortgage2017","Home:Mortgage:Interest","Home:Mortgage:Interest","",,"-691.26","Checking",
﻿,"S","6/1/2018","Payment/Deposit","Sched",,"","CapFedMortgage2017","Transfer:[CapFedMortgage2017]","Transfer:[CapFedMortgage2017]","",,"0.00","Checking",
﻿,"S","6/1/2018","Payment/Deposit","Sched",,"","CapFedMortgage2017","Transfer:[Escrow2017]","Transfer:[Escrow2017]","",,"-475.39","Checking",
﻿,"S","6/1/2018","Payment/Deposit","Sched",,"","CapFedMortgage2017","Uncategorized","Uncategorized","",,"0.00","Checking",
﻿,"S","6/1/2018","Payment/Deposit","Sched",,"","CapFedMortgage2017","Home:Home Insurance","Home:Home Insurance","",,"0.00","Checking",
﻿,"S","6/1/2018","Payment/Deposit","Sched",,"","CapFedMortgage2017","Home:Mortgage:PMI","Home:Mortgage:PMI","",,"0.00","Checking",
﻿,"S","6/1/2018","Payment/Deposit","Sched",,"","CapFedMortgage2017","Home:Mortgage:Mortgage Fees","Home:Mortgage:Mortgage Fees","",,"0.00","Checking",
﻿,"S","6/1/2018","Payment/Deposit","Sched",,"","CapFedMortgage2017","Uncategorized","Uncategorized","",,"-0.07","Checking",
﻿,,"5/31/2018","Payment/Deposit","",,"","WAL MART","Fix Me:WalMart","Fix Me:WalMart","",,"22.41","Sears 9920(29)",
﻿,,"5/31/2018","Payment/Deposit","",,"","WAL MART","Fix Me:WalMart","Fix Me:WalMart","",,"-130.02","Sears 9920(29)",
﻿,,"5/31/2018","Dividend Income","",,"MMDA1","MMDA1","Investments:Dividend Income","Investments:Dividend Income","",,"1.23","TD IRA Ameritrade","MONEY MARKET INTEREST"
﻿,,"5/31/2018","Interest Income","",,"",,"Investments:Interest Income","Investments:Interest Income","",,"89.26","IBM Pension",""
﻿,,"5/31/2018","Reinvest Dividend","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","22.965 shares @ 11.790115","Investments:Reinvest Dividend","","22.965","0.00","IBM 401k Fidelity","DIVIDEND;VANG LT TREASURY ADM OQAX;as of 05/31/2018"
﻿,,"5/31/2018","Buy","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","14.385 shares @ 11.790059","Investments:Buy","","14.385","-169.60","IBM 401k Fidelity","CONTRIBUTION;VANG LT TREASURY ADM OQAX;as of 05/31/2018"
﻿,,"5/31/2018","Buy","",,"Stable Value","Stable Value","25.433 shares @ 6.668502","Investments:Buy","","25.433","-169.60","IBM 401k Fidelity","CONTRIBUTION;INTEREST INCOME FUND OJFA;as of 05/31/2018"
﻿,,"5/31/2018","Dividend Income","",,"MMDA1","MMDA1","Investments:Dividend Income","Investments:Dividend Income","",,"0.03","GD IRA Ameritrade","MONEY MARKET INTEREST"
﻿,,"5/31/2018","Buy","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","0.04 shares @ 1.00","Investments:Buy","","0.04","-0.04","Fidelity HSA XX5575",""
﻿,,"5/31/2018","Buy","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","262.5 shares @ 1.00","Investments:Buy","","262.5","-262.50","Fidelity HSA XX5575",""
﻿,,"5/31/2018","Payment/Deposit","",,"","HAWTHORNE ANIMAL HOSPITA OVERLAN","Pets","Pets","",,"-231.22","Discover 3128(6)",
﻿,,"5/31/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-10.58","Matt Checking 0451","DBT PURCHASE ON 05/30 @ 01:11 QT 185 02001857 QT 185 02001857 SH"
﻿,,"5/31/2018","Payment/Deposit","",,"","QT","Auto:Fuel","Auto:Fuel","",,"-3.60","Matt Checking 0451","DBT PURCHASE ON 05/30 @ 01:18 QT 197 02001972 QT 197 02001972 KA"
﻿,,"5/31/2018","Payment/Deposit","",,"",,"Transfer:[Checking]","Transfer:[Checking]","",,"60.00","Terry Cash","ATM OLD METCALF 13500 METCALF AVENUE OVERLAND PARKKS CARD NBR: -"
﻿,,"5/31/2018","Payment/Deposit","",,"","ATM Old Metcalf 13500 Metcalf Avenue","Transfer:[Terry Cash]","Transfer:[Terry Cash]","",,"-60.00","Checking","ATM OLD METCALF 13500 METCALF AVENUE OVERLAND PARKKS CARD NBR: -"
﻿,,"5/31/2018","Payment/Deposit","",,"","INTEREST CREDITED DEPOSIT","Int Inc","Int Inc","",,"0.27","Checking",
﻿,,"5/31/2018","Payment/Deposit","",,"","INTEREST CREDITED DEPOSIT","Int Inc","Int Inc","",,"11.44","Savings",
﻿,,"5/31/2018","Payment/Deposit","",,"","Opening Balance","Transfer:[AMEX Savings]","Transfer:[AMEX Savings]","",,"0.00","AMEX Savings",
