All Transactions Report Created: 2018-08-15 22:58:52 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,,"12/26/2017","Payment/Deposit","",,"","WAFFLE HOUSE 1038 ROSWELL GA","Dining:Family","Dining:Family","",,"-23.34","Discover4221(6)",
﻿,,"12/26/2017","Payment/Deposit","",,"","MCALISTERS DELI 1031 Q83 ROSWELL","Dining:Family","Dining:Family","",,"-22.58","Discover4221(6)",
﻿,,"12/26/2017","Payment/Deposit","",,"","MCALISTERS DELI 1031 Q83 ROSWELL","Dining:Family","Dining:Family","",,"-4.30","Discover4221(6)",
﻿,,"12/26/2017","Payment/Deposit","",,"","Wendy's","Dining:Family","Dining:Family","",,"-3.64","Discover4221(6)",
﻿,,"12/26/2017","Payment/Deposit","",,"",,"Transfer:[Checking]","Transfer:[Checking]","",,"685.89","Sears 9920(29)","payment (auto)"
﻿,,"12/26/2017","Payment/Deposit","",,"","Sears","Transfer:[Sears 9920(29)]","Transfer:[Sears 9920(29)]","",,"-685.89","Checking","payment (auto)"
﻿,,"12/25/2017","Payment/Deposit","",,"","Hotel W","Dining:Family","Dining:Family","",,"-70.81","Sears 9920(29)",
﻿,,"12/25/2017","Payment/Deposit","",,"","AMAZON SERVICES-KINDLE 866-321-8","Books","Books","",,"-13.98","Discover 3128(6)",
﻿,,"12/25/2017","Payment/Deposit","",,"","WAFFLE HOUSE 1038 ROSWELL GA","Dining:Family","Dining:Family","",,"-32.14","Discover4221(6)",
﻿,,"12/24/2017","Payment/Deposit","",,"","Houstons","Dining:Family","Dining:Family","",,"-125.36","Sears 9920(29)",
﻿,,"12/24/2017","Payment/Deposit","",,"","LAKE LANIER ISLAND RESOR BUFORD","Entertainment","Entertainment","",,"-45.00","Discover 3128(6)","xmas lights"
﻿,,"12/24/2017","Payment/Deposit","",,"","CVS Pharmacy","Fix Me","Fix Me","",,"-13.90","Discover 3128(6)",
﻿,,"12/23/2017","Payment/Deposit","",,"","Advantage Car College","Vacation","Vacation","",,"-346.55","Discover4221(6)","atlanta rental"
﻿,,"12/23/2017","Payment/Deposit","",,"","Hy Vee","Groceries","Groceries","",,"-3.25","Sears 9920(29)",
﻿,,"12/23/2017","Payment/Deposit","Deposit",,"","ATM Nall Valley 15081 Nall Avenue","Fix Me","Fix Me","",,"45.00","Checking","overpayment refund"
﻿,,"12/23/2017","Payment/Deposit","",,"","Home Depot","Fix Me","Fix Me","",,"-17.29","Discover 3128(6)",
﻿,,"12/23/2017","Payment/Deposit","",,"","McDonald's","Dining","Dining","",,"-6.52","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"12/23/2017","Payment/Deposit","",,"","APL* ITUNES.COM/BILL 866-712-775","Household:Electronics","Household:Electronics","",,"-0.99","Discover 3128(6)","app"
﻿,,"12/23/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-17.13","Discover4221(6)",
﻿,,"12/23/2017","Payment/Deposit","",,"","McDonald's","Dining","Dining","",,"-14.87","Discover4221(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"12/23/2017","Payment/Deposit","",,"","McDonald's","Dining:Greg","Dining:Greg","",,"-2.14","Discover4221(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"12/22/2017","Payment/Deposit","",,"","BLUE MOOSE","Dining:Family","Dining:Family","",,"-26.21","Sears 9920(29)",
﻿,,"12/22/2017","Payment/Deposit","",,"","Hy Vee","Groceries","Groceries","",,"-40.71","Sears 9920(29)",
﻿,,"12/22/2017","Payment/Deposit","",,"","Hy Vee","Auto:Fuel","Auto:Fuel","",,"-27.77","Sears 9920(29)","odyssey"
﻿,,"12/22/2017","Payment/Deposit","",,"","MENARDS BELTON MO BELTON MO","Fix Me","Fix Me","",,"-88.57","Discover 3128(6)",
﻿,,"12/22/2017","Payment/Deposit","",,"","MANS BEST FRIEND BELTON MO","Pets","Pets","",,"-32.00","Discover 3128(6)",
﻿,,"12/22/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-9.62","Discover 3128(6)",
﻿,,"12/22/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-8.69","Discover 3128(6)",
﻿,,"12/22/2017","Payment/Deposit","",,"","McDonald's","Dining","Dining","",,"-7.72","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"12/22/2017","Payment/Deposit","",,"","DOLLAR TREE BELTON MO","Fix Me","Fix Me","",,"-4.40","Discover 3128(6)",
﻿,,"12/21/2017","Payment/Deposit","",,"","RED ROBIN","Dining:Family","Dining:Family","",,"-33.33","Sears 9920(29)",
﻿,,"12/21/2017","Payment/Deposit","",,"","DSW PINNACLE VILLAGE OVERLAND PA","Fix Me","Fix Me","",,"-54.54","Discover 3128(6)",
﻿,,"12/21/2017","Payment/Deposit","",,"","ROASTERIE CAFE LEAWOOD LEAWOOD K","Dining:Terry","Dining:Terry","",,"-7.85","Discover 3128(6)",
﻿,,"12/21/2017","Payment/Deposit","Check","4628","","Crossroads","Clothing","Clothing","",,"-95.00","Checking","roundrobin shirts"
﻿,,"12/21/2017","Payment/Deposit","Check","4629","","Crossroads","Charity:Cash","Charity:Cash","",,"-25.00","Checking","roundrobin donation"
﻿,,"12/20/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-164.63","Discover 3128(6)",
﻿,,"12/20/2017","Payment/Deposit","",,"","ULTA","Personal Care","Personal Care","",,"-69.13","Discover 3128(6)",
﻿,,"12/20/2017","Payment/Deposit","",,"","Big Lots","Fix Me","Fix Me","",,"-57.27","Discover 3128(6)",
﻿,,"12/20/2017","Payment/Deposit","",,"","Big Lots","Fix Me","Fix Me","",,"-11.01","Discover 3128(6)",
﻿,,"12/20/2017","Payment/Deposit","",,"","McDonald's","Dining:Terry","Dining:Terry","",,"-6.85","Discover 3128(6)","DBT PURCHASE ON 09/13 @ 13:48 MCDONALD'S F11441 MCDONALD'S F114"
﻿,,"12/20/2017","Payment/Deposit","",,"","Withdrawal","Transfer:[Checking]","Transfer:[Checking]","",,"60.00","Terry Cash",
﻿,,"12/20/2017","Payment/Deposit","",,"","Withdrawal","Transfer:[Terry Cash]","Transfer:[Terry Cash]","",,"-60.00","Checking",
﻿,,"12/20/2017","Payment/Deposit","",,"","Kcpt Donations","Charity:Cash","Charity:Cash","",,"-19.00","Checking",
﻿,,"12/19/2017","Payment/Deposit","",,"","Hen House","Groceries","Groceries","",,"-18.24","Sears 9920(29)",
﻿,,"12/19/2017","Payment/Deposit","",,"","Minskis","Dining:Family","Dining:Family","",,"-27.64","Sears 9920(29)",
﻿,,"12/19/2017","Payment/Deposit","",,"","AMC TOWN CENTER 20 #0038 LEAWOOD","Entertainment","Entertainment","",,"-5.46","Discover 3128(6)","ladybird"
﻿,,"12/19/2017","Payment/Deposit","",,"","SANFORD PROFILE 11082 OLATHE KS","Membership","Membership","",,"-50.00","Discover 3128(6)",
﻿,,"12/19/2017","Payment/Deposit","",,"","From savings","Transfer:[Checking]","Transfer:[Checking]","",,"-5,000.00","Savings",
﻿,,"12/19/2017","Payment/Deposit","TXFR",,"","From savings","Transfer:[Savings]","Transfer:[Savings]","",,"5,000.00","Checking",
﻿,,"12/19/2017","Payment/Deposit","",,"","KOHLS","Transfer:[Checking]","Transfer:[Checking]","",,"541.64","Kohls 3215(25)","payment (auto)"
﻿,,"12/19/2017","Payment/Deposit","",,"","KOHLS","Transfer:[Kohls 3215(25)]","Transfer:[Kohls 3215(25)]","",,"-541.64","Checking","payment (auto)"
﻿,,"12/18/2017","Reinvest Dividend","",,"Scudder Dreman High Return A (KDHAX)","Scudder Dreman High Return A (KDHAX)","1.96 shares @ 57.632653","Investments:Reinvest Dividend","","1.96","0.00","TD IRA (Scottrade)",""
﻿,,"12/18/2017","Reinvest Dividend","",,"Franklin Small Cap Growth A","Franklin Small Cap Growth A","52.923 shares @ 35.119891","Investments:Reinvest Dividend","","52.923","0.00","TD IRA (Scottrade)",""
﻿,,"12/18/2017","Reinvest Dividend","",,"Franklin Small Cap Growth A","Franklin Small Cap Growth A","1.097 shares @ 35.132179","Investments:Reinvest Dividend","","1.097","0.00","TD IRA (Scottrade)",""
﻿,,"12/18/2017","Payment/Deposit","",,"","First Choice Interlock","Fix Me","Fix Me","",,"-82.50","Sears 9920(29)","MD car"
﻿,,"12/18/2017","Payment/Deposit","",,"","IHOP","Dining:Family","Dining:Family","",,"-3.72","Sears 9920(29)",
﻿,,"12/18/2017","Payment/Deposit","",,"","Zarda","Dining:Family","Dining:Family","",,"-24.69","Sears 9920(29)",
﻿,,"12/18/2017","Payment/Deposit","",,"","Purchases","Fix Me","Fix Me","",,"-70.94","Kohls 3215(25)",
﻿,,"12/18/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-34.82","Discover 3128(6)",
﻿,,"12/18/2017","Payment/Deposit","",,"","USPS PO 2842330145 KANSAS CITY M","Supplies","Supplies","",,"-9.80","Discover 3128(6)",
﻿,,"12/18/2017","Payment/Deposit","",,"","SEARS WARRANTY 855-256-2467 FL","Insurance","Insurance","",,"-49.99","Discover 3128(6)",
﻿,,"12/18/2017","Payment/Deposit","",,"","Target","Fix Me","Fix Me","",,"-20.57","Discover 3128(6)","DBT PURCHASE ON 09/14 @ 16:56 TARGET 00017574 TARGET 00017574 O"
﻿,,"12/18/2017","Payment/Deposit","",,"","Amazon.com","Subscriptions","Subscriptions","",,"-8.99","Discover 3128(6)",
﻿,"S","12/18/2017","Payment/Deposit","Deposit",,"","ATM Old Metcalf 13500 Metcalf Avenue","Fix Me","Fix Me","",,"100.00","Checking","tracy"
﻿,"S","12/18/2017","Payment/Deposit","Deposit",,"","ATM Old Metcalf 13500 Metcalf Avenue","Fix Me","Fix Me","",,"10.00","Checking","gma"
﻿,,"12/17/2017","Payment/Deposit","",,"","Big Biscuit","Dining:Family","Dining:Family","",,"-21.04","Sears 9920(29)",
﻿,,"12/17/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-46.64","Discover4221(6)",
﻿,,"12/17/2017","Payment/Deposit","",,"","LaZBoy","Transfer:[Checking]","Transfer:[Checking]","",,"257.00","LaZBoy","payment (auto)"
﻿,,"12/17/2017","Payment/Deposit","",,"","LaZBoy","Transfer:[LaZBoy]","Transfer:[LaZBoy]","",,"-257.00","Checking","payment (auto)"
﻿,,"12/16/2017","Payment/Deposit","",,"","PAYPAL *ORCHARDBRAN 402-935-7733","Fix Me","Fix Me","",,"-39.99","Discover 3128(6)",
﻿,,"12/15/2017","Buy","",,"Vanguard LT TREASURY ADM","Vanguard LT TREASURY ADM","13.546 shares @ 12.520301","Investments:Buy","","13.546","-169.60","IBM 401k Fidelity","CONTRIBUTION;VANG LT TREASURY ADM OQAX;as of 12/15/2017"
﻿,,"12/15/2017","Buy","",,"Stable Value","Stable Value","25.78 shares @ 6.578743","Investments:Buy","","25.78","-169.60","IBM 401k Fidelity","CONTRIBUTION;INTEREST INCOME FUND OJFA;as of 12/15/2017"
﻿,,"12/15/2017","Buy","",,"WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","WELLS FARGO HSA FDIC INSURED NOT COVERED BY SIPC","214.58 shares @ 1.00","Investments:Buy","","214.58","-214.58","Fidelity HSA XX5575",""
﻿,,"12/15/2017","Payment/Deposit","",,"","Hen House","Groceries","Groceries","",,"-36.95","Sears 9920(29)",
﻿,,"12/15/2017","Payment/Deposit","",,"","STAPLES 00118471105 OVERLAND PAR","Fix Me","Fix Me","",,"-42.54","Discover 3128(6)",
﻿,,"12/15/2017","Payment/Deposit","",,"","HUNTER FAMILY VISION LEAWOOD KS","Medical:Doctor","Medical:Doctor","",,"-27.13","Discover 3128(6)",
﻿,,"12/15/2017","Payment/Deposit","",,"","Wendy's","Dining:Greg","Dining:Greg","",,"-4.36","Discover4221(6)",
﻿,,"12/15/2017","Payment/Deposit","",,"","BEDBATH&BEYOND OVERLAND KS","Fix Me","Fix Me","",,"7.74","Discover 3128(6)",
﻿,,"12/15/2017","Payment/Deposit","EFT",,"","Water District #1","Utilities:Water","Utilities:Water","",,"-129.69","Checking",
﻿,,"12/15/2017","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"214.58","Fidelity HSA XX5575","Medical savings plan"
﻿,,"12/15/2017","Payment/Deposit","",,"","IBM Paycheck","Transfer:[Savings]","Transfer:[Savings]","",,"339.20","IBM 401k Fidelity","contribution"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"5,653.25","Savings","Gross pay"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Salary","Salary","",,"78.54","Savings","Life Insurance (implied)"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Medicare","Tax:Medicare","",,"-78.19","Savings","Paycheck"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Soc Sec","Tax:Soc Sec","",,"-334.33","Savings","Paycheck"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Fed","Tax:Fed","",,"-564.97","Savings","Paycheck"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Tax:Kansas","Tax:Kansas","",,"-205.38","Savings","Paycheck"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[IBM 401k Fidelity]","Transfer:[IBM 401k Fidelity]","",,"-339.20","Savings","contribution"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Medical","Insurance:Medical","",,"-124.78","Savings","Health care (medical + dental)"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Transfer:[Fidelity HSA XX5575]","Transfer:[Fidelity HSA XX5575]","",,"-214.58","Savings","Medical savings plan"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"0.00","Savings","Life Insurance"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-78.54","Savings","LIfe Insurance (implied)"
﻿,"S","12/15/2017","Payment/Deposit","Deposit",,"","IBM Paycheck","Uncategorized","Uncategorized","",,"-79.73","Savings","Paycheck"
﻿,,"12/15/2017","Payment/Deposit","Deposit",,"","IBM Match","Misc Inc","Misc Inc","",,"450.00","Deferred 401k Match","IBM Match"
﻿,,"12/14/2017","Reinvest Dividend","",,"International Business Machine","International Business Machine","0.041 shares @ 155.853659","Investments:Reinvest Dividend","","0.041","0.00","IBM Options Morgan Stanley",""
﻿,,"12/14/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-90.37","Discover 3128(6)",
﻿,,"12/14/2017","Payment/Deposit","",,"","Wal-Mart","Fix Me:WalMart","Fix Me:WalMart","",,"-22.89","Discover 3128(6)",
﻿,,"12/14/2017","Payment/Deposit","",,"","Whole Foods","Dining:Greg","Dining:Greg","",,"-4.40","Discover4221(6)",
﻿,,"12/14/2017","Payment/Deposit","",,"","Amazon.com","Fix Me","Fix Me","",,"65.45","Discover 3128(6)",
﻿,,"12/14/2017","Payment/Deposit","",,"","Amazon.com","Fix Me","Fix Me","",,"31.77","Discover 3128(6)",
﻿,,"12/13/2017","Payment/Deposit","",,"","TALK OF THE TOWN GRILL & OVERLAN","Dining:Greg","Dining:Greg","",,"-14.23","Discover 3128(6)",
﻿,,"12/13/2017","Payment/Deposit","",,"","Wendy's","Dining:Greg","Dining:Greg","",,"-6.34","Discover 3128(6)",
﻿,,"12/13/2017","Payment/Deposit","",,"","GOOGLE *SERVICES G.CO/HELPPAY#CA","Utilities:Cable TV","Utilities:Cable TV","",,"-172.61","Discover 3128(6)",
﻿,,"12/13/2017","Payment/Deposit","",,"","9640 AMC ONLINE 888-440-4262 KS","Membership","Membership","",,"-15.00","Discover 3128(6)","stubs"
