dohlcva Date,Open,High,Low,Close,Volume,Adj Close
2005-09-01,105.25,105.25,105.25,105.25,000,49.624303
2005-08-31,105.129997,105.129997,105.129997,105.129997,000,49.567723
2005-08-30,104.07,104.07,104.07,104.07,000,49.067945
2005-08-29,104.43,104.43,104.43,104.43,000,49.237682
2005-08-26,103.699997,103.699997,103.699997,103.699997,000,48.893493
2005-08-25,104.330002,104.330002,104.330002,104.330002,000,49.190533
2005-08-24,104.089996,104.089996,104.089996,104.089996,000,49.077373
2005-08-23,104.82,104.82,104.82,104.82,000,49.421562
2005-08-22,105.18,105.18,105.18,105.18,000,49.591299
2005-08-19,105.07,105.07,105.07,105.07,000,49.539435
2005-08-18,105.080002,105.080002,105.080002,105.080002,000,49.544151
2005-08-17,105.220001,105.220001,105.220001,105.220001,000,49.610159
2005-08-16,105.190002,105.190002,105.190002,105.190002,000,49.596015
2005-08-15,106.489998,106.489998,106.489998,106.489998,000,50.20895
2005-08-12,106.25,106.25,106.25,106.25,000,50.095793
2005-08-11,106.919998,106.919998,106.919998,106.919998,000,50.41169
2005-08-10,106.160004,106.160004,106.160004,106.160004,000,50.053361
2005-08-09,106.279999,106.279999,106.279999,106.279999,000,50.109937
2005-08-08,105.449997,105.449997,105.449997,105.449997,000,49.7186
2005-08-05,105.68,105.68,105.68,105.68,000,49.827044
2005-08-04,106.410004,106.410004,106.410004,106.410004,000,50.171233
2005-08-03,107.209999,107.209999,107.209999,107.209999,000,50.548423
2005-08-02,107.220001,107.220001,107.220001,107.220001,000,50.553139
2005-08-01,106.550003,106.550003,106.550003,106.550003,000,50.237241
2005-07-29,106.349998,106.349998,106.349998,106.349998,000,50.142941
2005-07-28,107.309998,107.309998,107.309998,107.309998,000,50.595571
2005-07-27,106.769997,106.769997,106.769997,106.769997,000,50.340966
2005-07-26,106.230003,106.230003,106.230003,106.230003,000,50.086365
2005-07-25,105.889999,105.889999,105.889999,105.889999,000,49.926056
2005-07-22,106.309998,106.309998,106.309998,106.309998,000,50.124081
2005-07-21,105.690002,105.690002,105.690002,105.690002,000,49.83176
2005-07-20,106.330002,106.330002,106.330002,106.330002,000,50.133513
2005-07-19,106.169998,106.169998,106.169998,106.169998,000,50.058073
2005-07-18,105.169998,105.169998,105.169998,105.169998,000,49.586583
2005-07-15,105.800003,105.800003,105.800003,105.800003,000,49.883624
2005-07-14,105.68,105.68,105.68,105.68,000,49.827044
2005-07-13,105.339996,105.339996,105.339996,105.339996,000,49.666736
2005-07-12,105.230003,105.230003,105.230003,105.230003,000,49.614875
2005-07-11,104.800003,104.800003,104.800003,104.800003,000,49.412134
2005-07-08,104.150002,104.150002,104.150002,104.150002,000,49.105665
2005-07-07,102.959999,102.959999,102.959999,102.959999,000,48.544591
2005-07-06,102.760002,102.760002,102.760002,102.760002,000,48.450295
2005-07-05,103.540001,103.540001,103.540001,103.540001,000,48.818056
2005-07-01,102.470001,102.470001,102.470001,102.470001,000,48.313562
2005-06-30,102.239998,102.239998,102.239998,102.239998,000,48.205118
2005-06-29,103.089996,103.089996,103.089996,103.089996,000,48.605883
2005-06-28,103.239998,103.239998,103.239998,103.239998,000,48.676608
2005-06-27,102.419998,102.419998,102.419998,102.419998,000,48.289986
2005-06-24,102.610001,102.610001,102.610001,102.610001,000,48.37957
2005-06-23,103.309998,103.309998,103.309998,103.309998,000,48.709612
2005-06-22,104.330002,104.330002,104.330002,104.330002,000,49.190533
2005-06-21,104.209999,104.209999,104.209999,104.209999,000,49.133953
2005-06-20,104.459999,104.459999,104.459999,104.459999,000,49.251826
2005-06-17,104.519997,104.519997,104.519997,104.519997,000,49.280114
2005-06-16,104.040001,104.040001,104.040001,104.040001,000,49.053801
2005-06-15,103.639999,103.639999,103.639999,103.639999,000,48.865204
2005-06-14,103.440002,103.440002,103.440002,103.440002,000,48.770908
2005-06-13,103.230003,103.230003,103.230003,103.230003,000,48.671895
2005-06-10,103.010002,103.010002,103.010002,103.010002,000,48.568167
2005-06-09,103.339996,103.339996,103.339996,103.339996,000,48.723756
2005-06-08,102.660004,102.660004,102.660004,102.660004,000,48.403146
2005-06-07,102.910004,102.910004,102.910004,102.910004,000,48.521019
2005-06-06,102.900002,102.900002,102.900002,102.900002,000,48.516303
2005-06-03,102.709999,102.709999,102.709999,102.709999,000,48.426719
2005-06-02,103.480003,103.480003,103.480003,103.480003,000,48.789768
2005-06-01,103.230003,103.230003,103.230003,103.230003,000,48.671895
2005-05-31,102.199997,102.199997,102.199997,102.199997,000,48.186258
2005-05-27,102.849998,102.849998,102.849998,102.849998,000,48.492727
2005-05-26,102.760002,102.760002,102.760002,102.760002,000,48.450295
2005-05-25,102.099998,102.099998,102.099998,102.099998,000,48.13911
2005-05-24,102.440002,102.440002,102.440002,102.440002,000,48.299418
2005-05-23,102.379997,102.379997,102.379997,102.379997,000,48.271126
2005-05-20,101.910004,101.910004,101.910004,101.910004,000,48.049529
2005-05-19,102.019997,102.019997,102.019997,102.019997,000,48.10139
2005-05-18,101.379997,101.379997,101.379997,101.379997,000,47.799636
2005-05-17,100.43,100.43,100.43,100.43,000,47.351722
2005-05-16,99.68,99.68,99.68,99.68,000,46.998105
2005-05-13,98.730003,98.730003,98.730003,98.730003,000,46.550191
2005-05-12,98.970001,98.970001,98.970001,98.970001,000,46.663348
2005-05-11,99.900002,99.900002,99.900002,99.900002,000,47.101833
2005-05-10,99.459999,99.459999,99.459999,99.459999,000,46.894377
2005-05-09,100.57,100.57,100.57,100.57,000,47.417731
2005-05-06,99.980003,99.980003,99.980003,99.980003,000,47.139553
2005-05-05,100.330002,100.330002,100.330002,100.330002,000,47.172557
2005-05-04,100.57,100.57,100.57,100.57,000,47.285398
2005-05-03,99.220001,99.220001,99.220001,99.220001,000,46.650663
2005-05-02,99.349998,99.349998,99.349998,99.349998,000,46.711785
2005-04-29,98.919998,98.919998,98.919998,98.919998,000,46.50961
2005-04-28,97.93,97.93,97.93,97.93,000,46.044138
2005-04-27,99.110001,99.110001,99.110001,99.110001,000,46.598944
2005-04-26,98.830002,98.830002,98.830002,98.830002,000,46.467296
2005-04-25,99.610001,99.610001,99.610001,99.610001,000,46.834031
2005-04-22,98.849998,98.849998,98.849998,98.849998,000,46.476698
2005-04-21,99.529999,99.529999,99.529999,99.529999,000,46.796416
2005-04-20,97.529999,97.529999,97.529999,97.529999,000,45.856068
2005-04-19,98.629997,98.629997,98.629997,98.629997,000,46.373259
2005-04-18,98.120003,98.120003,98.120003,98.120003,000,46.133473
2005-04-15,97.879997,97.879997,97.879997,97.879997,000,46.020628
2005-04-14,99.330002,99.330002,99.330002,99.330002,000,46.702383
2005-04-13,100.220001,100.220001,100.220001,100.220001,000,47.120837
2005-04-12,101.489998,101.489998,101.489998,101.489998,000,47.717957
2005-04-11,100.940002,100.940002,100.940002,100.940002,000,47.459363
2005-04-08,100.980003,100.980003,100.980003,100.980003,000,47.478171
2005-04-07,101.82,101.82,101.82,101.82,000,47.873115
2005-04-06,101.190002,101.190002,101.190002,101.190002,000,47.576907
2005-04-05,101.00,101.00,101.00,101.00,000,47.487572
2005-04-04,100.599998,100.599998,100.599998,100.599998,000,47.299502
2005-04-01,100.199997,100.199997,100.199997,100.199997,000,47.111432
2005-03-31,101.00,101.00,101.00,101.00,000,47.487572
2005-03-30,101.029999,101.029999,101.029999,101.029999,000,47.501677
2005-03-29,99.769997,99.769997,99.769997,99.769997,000,46.909257
2005-03-28,100.620003,100.620003,100.620003,100.620003,000,47.308908
2005-03-24,100.260002,100.260002,100.260002,100.260002,000,47.139645
2005-03-23,100.349998,100.349998,100.349998,100.349998,000,47.181959
2005-03-22,100.290001,100.290001,100.290001,100.290001,000,47.153749
2005-03-21,101.400002,101.400002,101.400002,101.400002,000,47.675643
2005-03-18,101.940002,101.940002,101.940002,101.940002,000,47.929537
2005-03-17,101.959999,101.959999,101.959999,101.959999,000,47.938939
2005-03-16,101.900002,101.900002,101.900002,101.900002,000,47.91073
2005-03-15,102.480003,102.480003,102.480003,102.480003,000,48.183432
2005-03-14,103.199997,103.199997,103.199997,103.199997,000,48.521954
2005-03-11,102.599998,102.599998,102.599998,102.599998,000,48.23985
2005-03-10,103.410004,103.410004,103.410004,103.410004,000,48.620693
2005-03-09,103.230003,103.230003,103.230003,103.230003,000,48.536062
2005-03-08,104.269997,104.269997,104.269997,104.269997,000,49.02504
2005-03-07,104.690002,104.690002,104.690002,104.690002,000,49.222516
2005-03-04,104.50,104.50,104.50,104.50,000,49.133181
2005-03-03,103.57,103.57,103.57,103.57,000,48.695919
2005-03-02,103.580002,103.580002,103.580002,103.580002,000,48.700622
2005-03-01,103.540001,103.540001,103.540001,103.540001,000,48.681815
2005-02-28,103.050003,103.050003,103.050003,103.050003,000,48.451431
2005-02-25,103.830002,103.830002,103.830002,103.830002,000,48.818166
2005-02-24,103.00,103.00,103.00,103.00,000,48.42792
2005-02-23,102.349998,102.349998,102.349998,102.349998,000,48.122307
2005-02-22,101.82,101.82,101.82,101.82,000,47.873115
2005-02-18,103.300003,103.300003,103.300003,103.300003,000,48.568974
2005-02-17,103.300003,103.300003,103.300003,103.300003,000,48.568974
2005-02-16,104.199997,104.199997,104.199997,104.199997,000,48.992128
2005-02-15,104.220001,104.220001,104.220001,104.220001,000,49.001533
2005-02-14,103.93,103.93,103.93,103.93,000,48.865182
2005-02-11,103.980003,103.980003,103.980003,103.980003,000,48.888693
2005-02-10,103.199997,103.199997,103.199997,103.199997,000,48.521954
2005-02-09,102.650002,102.650002,102.650002,102.650002,000,48.26336
2005-02-08,103.510002,103.510002,103.510002,103.510002,000,48.66771
2005-02-07,103.449997,103.449997,103.449997,103.449997,000,48.639497
2005-02-04,103.599998,103.599998,103.599998,103.599998,000,48.710024
2005-02-03,102.419998,102.419998,102.419998,102.419998,000,48.155219
2005-02-02,102.720001,102.720001,102.720001,102.720001,000,48.296272
2005-02-01,102.410004,102.410004,102.410004,102.410004,000,48.15052
2005-01-31,101.839996,101.839996,101.839996,101.839996,000,47.882517
2005-01-28,100.989998,100.989998,100.989998,100.989998,000,47.48287
2005-01-27,101.139999,101.139999,101.139999,101.139999,000,47.553397
