50.89,12/7/98
51.17,11/30/98
51.44,11/23/98
50.3,11/16/98
48.86,11/9/98
49.46,11/2/98
47.44,10/26/98
45.91,10/19/98
44.65,10/12/98
41.48,10/5/98
43.72,9/28/98
46.44,9/21/98
44.66,9/14/98
43.88,9/7/98
42.3,8/31/98
44.59,8/24/98
47.58,8/17/98
46.83,8/10/98
47.98,8/3/98
49.17,7/27/98
50.08,7/20/98
52.81,7/13/98
51.08,7/6/98
49.57,6/29/98
48.87,6/22/98
46.77,6/15/98
46.42,6/8/98
47.11,6/1/98
46.24,5/25/98
46.92,5/18/98
47.63,5/11/98
48.02,5/4/98
48.17,4/27/98
47.7,4/20/98
48.65,4/13/98
48.29,4/6/98
49.13,3/30/98
47.96,3/23/98
47.99,3/16/98
47.54,3/9/98
46.55,3/2/98
46.85,2/23/98
45.83,2/16/98
45.42,2/9/98
44.64,2/2/98
43.23,1/26/98
42.24,1/19/98
42.02,1/12/98
40.74,1/5/98
42.92,12/29/97
41.41,12/22/97
42.0074,12/15/97
42.3139,12/8/97
44.3156,12/1/97
