10.32,12/7/98
10.3,11/30/98
10.24,11/23/98
10.23,11/16/98
10.22,11/9/98
10.19,11/2/98
10.31,10/26/98
10.31,10/19/98
10.38,10/12/98
10.27,10/5/98
10.43,9/28/98
10.36,9/21/98
10.33,9/14/98
10.3,9/7/98
10.24,8/31/98
10.25,8/24/98
10.23,8/17/98
10.22,8/10/98
10.22,8/3/98
10.18,7/27/98
10.19,7/20/98
10.18,7/13/98
10.22,7/6/98
10.21,6/29/98
10.2,6/22/98
10.2,6/15/98
10.23,6/8/98
10.18,6/1/98
10.19,5/25/98
10.16,5/18/98
10.15,5/11/98
10.16,5/4/98
10.17,4/27/98
10.17,4/20/98
10.19,4/13/98
10.19,4/6/98
10.23,3/30/98
10.16,3/23/98
10.2,3/16/98
10.2,3/9/98
10.16,3/2/98
10.19,2/23/98
10.22,2/16/98
10.24,2/9/98
10.22,2/2/98
10.25,1/26/98
10.22,1/19/98
10.25,1/12/98
10.31,1/5/98
10.2,12/29/97
10.17,12/22/97
10.19,12/15/97
10.18,12/8/97
10.13,12/1/97
